Student ID,Student Name,Program,Enrollment Date,Course Completion Rate,Average Test Score,Test_score,Alumni Donation,Semester,Faculty Rating,Alumni Engagement Score
eeffe9fd-d565-46d3-be1e-df0715f9aa83,Ryan Green,Art,2024-02-18,0.67,74.66,97.31,True,Fall,4.2,7.1
3bf76b07-55b6-4c1a-bda4-1edce36f4122,Bobby Estrada,Computer Science,2021-01-18,0.52,80.48,93.49,True,Summer,4.7,8.6
99893f35-1e21-4083-b42d-a552bf02969f,Elizabeth Clay,Business Administration,2022-11-24,0.73,53.55,58.63,True,Summer,3.0,9.8
9cec7188-d5c5-4815-9862-0d1d23a670d3,Jennifer Stout,Engineering,2019-11-01,0.94,62.57,53.09,True,Spring,1.4,5.2
d21e9c4a-d009-4ef0-8ac8-2e6c6539d105,Daniel Hernandez,Business Administration,2024-04-10,0.74,90.08,89.27,True,Fall,4.6,7.7
76841e82-87da-4a8a-a161-2f3b834ec246,Marcus Juarez,Mathematics,2021-03-21,0.5,53.4,85.77,False,Fall,2.8,4.0
62f617d7-c8ab-456f-93b6-c314874cdc23,Kevin Coleman,Business Administration,2024-02-18,0.96,69.52,54.42,False,Spring,4.3,6.8
de31345e-21f4-4eac-b4a6-8670ac459378,Christine Hines,Physics,2019-07-02,0.83,98.19,65.03,True,Summer,3.2,8.1
0436438e-7309-4a33-878d-0551c3e4ed72,Daniel Phillips,Mathematics,2020-03-02,0.98,60.88,68.25,False,Spring,2.8,8.3
02786837-055a-4c69-9580-896d8ead4fcb,Dustin Chang,Physics,2022-05-25,0.58,96.4,70.77,False,Spring,3.0,5.3
46d79798-8a97-4f4d-be1d-ecac3ec04db3,Bryan Boone,Business Administration,2020-04-04,0.83,96.92,51.83,True,Spring,4.4,6.7
12724b57-0198-4811-bb22-ab0734064486,Kenneth Fisher,Mathematics,2022-04-22,0.88,54.03,84.51,False,Fall,3.6,9.4
de3341dd-f0a0-42dc-9ef0-b212c800209c,Hannah Jackson,Mathematics,2022-06-19,0.85,61.88,79.07,True,Summer,1.0,4.7
527dd498-a33a-4f0e-85f7-78fa8dcfa1a7,Lisa Bautista,Mathematics,2019-08-04,0.56,78.46,80.89,True,Spring,4.3,9.9
5c1b5627-bd34-4898-93a3-fa6c5d127cc4,Susan Lawrence,Engineering,2020-03-07,0.5,80.89,91.84,False,Summer,1.8,5.8
53a2b65d-7c5d-4659-ace4-99b8454ae4c7,Madison Brown,Mathematics,2024-02-15,0.55,89.28,59.38,False,Spring,1.1,7.7
3927282b-a1b4-4a9a-944b-81b20a74a716,Robert Green,Art,2019-07-27,0.96,95.83,62.43,False,Spring,2.3,6.2
c71e0b12-e5bf-4474-a4bd-705e4e136a35,Rebecca Aguilar MD,Mathematics,2022-06-27,0.56,57.88,65.3,True,Fall,3.8,7.9
ac1de7b9-2d10-47a6-8a3b-d230ba07aa44,Albert Moore,Engineering,2022-11-30,0.9,86.91,65.22,True,Fall,1.9,5.3
51a36008-e64c-4c1b-8df2-7548027e1429,Jessica Carpenter,Literature,2020-01-05,0.99,70.64,89.58,False,Summer,4.0,2.2
244ce5cc-6847-4430-bbce-c5cd7cfab636,Amber Young,Physics,2020-02-22,0.72,76.55,83.14,False,Spring,4.7,7.0
4d421d86-5b81-4237-a78e-4cf2a3932c32,Christina Day,Business Administration,2024-01-12,0.76,51.56,71.86,True,Fall,1.8,3.3
b2bd8232-5b0a-46e1-8b8f-1a86e4451808,Laurie Kline,Art,2021-05-18,0.66,58.62,86.39,True,Spring,1.6,10.0
3ca42323-3ae7-444c-a278-fff32d63d82b,Thomas Lambert,Computer Science,2022-02-10,0.66,76.62,76.13,True,Spring,4.5,2.2
b8199fe9-5b32-4582-8cb7-3d21a84ac263,Christopher Gonzalez,Computer Science,2022-06-29,0.97,82.59,70.29,False,Summer,3.8,8.3
38431667-ac16-4712-aeb6-85a3b70b38b2,Douglas Moore MD,Physics,2022-07-03,0.61,76.68,58.58,True,Fall,1.7,8.2
21e5e3e3-4908-40bc-9ba8-5a60558f8067,David Jennings,Art,2020-11-07,0.83,51.53,83.94,False,Summer,4.5,2.3
8cb556ed-496f-4829-9ecb-e46534e70ae2,Eric Fields,Art,2019-12-05,0.84,53.04,56.55,False,Summer,1.9,1.4
089c92d7-8aa3-4dc7-b0be-c567134c2c25,Susan Riggs,Art,2023-03-10,0.52,61.83,67.74,False,Fall,2.3,1.1
4437b66d-48f8-484c-90c7-0081b9547d9e,Colleen Pennington,Mathematics,2020-09-12,0.77,85.04,99.75,False,Summer,2.7,3.0
e8714107-6e37-4d2f-8bea-f34780c023e8,Megan Hanson,Art,2021-12-20,1.0,67.71,58.98,True,Fall,2.8,8.0
cb874d83-c7b7-472e-80ee-b7ba03b69050,Steven Haney PhD,Literature,2023-12-03,0.88,95.08,99.25,False,Spring,1.6,1.0
88aa0244-25ff-462f-96df-db3d778b15d8,Joseph Ward,Computer Science,2024-04-10,0.72,61.26,97.68,True,Fall,2.4,6.5
a9491826-5d3e-4d81-86cd-e4950c949ab5,Tammy Edwards,Mathematics,2020-08-16,0.92,71.46,95.74,False,Summer,2.1,8.1
177a072b-789f-4e70-ad90-90a9ca1c16ad,Nicholas Ross,Physics,2022-04-25,0.99,65.93,69.25,False,Fall,4.8,5.9
f72f07e7-82ac-4dde-aaed-3bbde23224fa,Charles Combs II,Computer Science,2023-03-20,0.69,70.21,68.14,True,Summer,3.6,1.9
4a091ef7-db7a-4ade-b3a3-71114cd255e6,Olivia Hunt DVM,Mathematics,2023-11-20,0.51,80.74,59.59,False,Spring,3.7,6.2
11b7652c-6ebc-4c61-b116-48af516e39c3,Hannah Aguilar,Mathematics,2023-02-27,0.55,58.14,92.36,False,Spring,1.7,2.3
643037e7-5c39-4ef8-98fb-9f88301c08c7,Amy Patton,Physics,2020-10-27,0.78,68.0,92.54,True,Spring,2.5,9.4
ea138d6e-8308-4876-84a8-364dc87a1505,Joshua Sanchez,Computer Science,2020-11-14,0.92,70.52,51.91,False,Summer,4.9,1.8
e6bcbf7f-8dc7-470a-be44-b226f19cf251,Megan Garcia,Art,2022-02-19,0.63,79.31,60.1,False,Spring,3.0,7.4
ae875387-e63c-4df7-91cb-41e0ad4934de,William Benson,Art,2019-10-12,0.8,69.16,51.54,False,Summer,1.6,6.4
e7666015-4ac7-436d-ad8b-314dd7a7d430,Lisa Underwood,Art,2021-11-03,0.74,56.38,77.93,False,Spring,2.0,2.1
dff2bc8a-2863-4a64-9378-6081dd920b28,Lisa Mccarthy,Computer Science,2021-11-06,0.72,81.15,71.11,True,Spring,1.1,8.2
0538a1f2-4a42-4c60-a749-9aba3bfc46ba,Cindy Watson MD,Literature,2023-07-30,0.84,94.22,55.71,False,Fall,1.8,9.9
4533ff7c-80f5-4f51-8841-a77497093db3,Jacob Underwood,Mathematics,2022-09-21,0.8,58.11,50.3,False,Summer,4.7,4.4
40d86e98-5e22-41b9-bf2c-d7df9b28be9d,Andrew Elliott,Physics,2022-02-14,0.62,92.79,73.34,False,Summer,3.3,9.5
49b6bc72-9a02-4f00-9414-fdba753cb054,Mr. Philip Carter,Computer Science,2022-12-25,0.88,76.95,95.29,True,Summer,1.9,5.5
2190b2e2-71d4-4e91-a1e8-fa186f5aa71c,Shannon Garcia,Computer Science,2023-06-20,0.69,69.21,67.98,True,Spring,4.4,2.9
3e3bd18f-25c5-4b40-a207-18e456f62888,Chad Franklin,Business Administration,2023-09-23,0.93,64.44,88.98,True,Summer,4.6,8.8
427bd7ef-0157-4354-92a6-7ab140352db7,Mary Shaw,Physics,2022-09-03,0.79,79.71,98.64,True,Fall,2.2,5.2
ea117246-bec2-40ae-99c9-5bc850306f67,Christina Mack,Physics,2020-02-13,0.64,73.78,90.26,True,Spring,4.9,4.1
f5d7c974-02b1-43b1-8a18-16d80fec7d42,Pamela Glover,Business Administration,2020-07-17,0.91,66.07,65.67,True,Summer,3.8,3.4
5fc280b4-97d8-4581-8e64-e6d6814154ba,Mrs. Alexandra Baker,Physics,2021-04-18,0.81,66.19,84.0,False,Fall,2.2,4.0
eaacd1b5-0556-49ff-9720-fd52d56fa40a,Amber Martin,Art,2022-08-15,0.92,54.57,77.02,True,Summer,2.0,4.8
7ed1352d-46b5-4f19-8e68-3f4fad500d0f,Tina Collins,Literature,2020-02-14,0.84,68.34,64.38,True,Spring,2.6,1.6
a47e01d9-38b4-4c74-93af-600d75304ede,Ryan Lang,Mathematics,2021-07-08,0.85,64.23,74.99,False,Spring,3.6,9.2
b31231a4-2fe6-48fc-abd0-c70a74667d25,Brian Mcknight,Literature,2022-05-19,0.91,91.55,80.63,False,Spring,3.8,7.3
214211b2-6992-4138-b1f3-3e7da68de12e,Michael Steele,Computer Science,2023-06-12,0.84,53.43,85.85,False,Spring,3.3,4.1
aa4419f4-79a1-4d5f-a1c7-caf5bd378cf1,Alan Scott,Art,2023-04-30,0.66,68.2,91.24,True,Spring,1.1,8.1
faf804e9-24d4-461c-9591-f3d114e5521e,Victor Fox,Physics,2022-03-31,0.71,94.28,85.62,True,Spring,1.8,4.6
aa658334-b960-46b1-96d8-90b1eb74fa03,Craig Mcclain,Computer Science,2020-02-19,0.98,85.54,73.81,False,Spring,2.5,5.3
ce597317-dfde-4750-a8b7-fc7e24f8e784,Jacob Henry,Literature,2023-10-16,0.56,93.94,65.02,True,Spring,1.1,8.7
b23739d1-3975-41cd-8c91-7b327af55a09,Chelsea Jones,Mathematics,2024-01-05,0.69,62.98,90.89,False,Summer,1.8,6.2
0ea13510-533c-4dde-8f8c-034c8b4ed70d,Theresa Foster,Engineering,2022-02-26,0.58,71.77,70.29,True,Summer,3.4,9.0
c5b29695-f506-4188-be50-cfd46807e30c,Brad Smith,Computer Science,2023-01-27,0.7,96.11,68.26,False,Summer,1.9,4.6
